type,name,latitude_deg,longitude_deg,iso_country,scheduled_service,iata_code
medium_airport,Anaa Airport,-17.3526,-145.509995,PF,yes,AAA
large_airport,El Arish International Airport,31.055324,33.827964,EG,yes,AAC
large_airport,Annaba Rabah Bitat Airport,36.826781,7.81334,DZ,yes,AAE
small_airport,Aranuka Airport,0.185278,173.636993,KI,yes,AAK
large_airport,Aalborg Airport,57.094763,9.84993,DK,yes,AAL
large_airport,Al Ain International Airport,24.2617,55.6092,AE,yes,AAN
medium_airport,Aji Pangeran Tumenggung Pranoto International Airport,-0.374478,117.250128,ID,yes,AAP
medium_airport,Anapa Vityazevo Airport,45.002102,37.347301,RU,yes,AAQ
large_airport,Aarhus Airport,56.303331,10.618286,DK,yes,AAR
medium_airport,Altay Xuedu Airport,47.749886,88.085808,CN,yes,AAT
medium_airport,Romeu Zema Airport,-19.5632,-46.9604,BR,yes,AAX
medium_airport,Al Ghaydah International Airport,16.193341,52.174186,YE,yes,AAY
small_airport,Quezaltenango Airport,14.8656,-91.501999,GT,yes,AAZ
large_airport,Abakan International Airport,53.740002,91.385002,RU,yes,ABA
large_airport,Asaba International Airport,6.204167,6.665278,NG,yes,ABB
large_airport,Abadan Ayatollah Jami International Airport,30.367887,48.230075,IR,yes,ABD
medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,US,yes,ABE
medium_airport,Abilene Regional Airport,32.4113006592,-99.68190002440001,US,yes,ABI
large_airport,Félix-Houphouët-Boigny International Airport,5.26139,-3.92629,CI,yes,ABJ
medium_airport,Kebri Dahar Airport,6.732577,44.241339,ET,yes,ABK
medium_airport,Ambler Airport,67.105529,-157.855339,US,yes,ABL
small_airport,Northern Peninsula Airport,-10.946194,142.455081,AU,yes,ABM
large_airport,Albuquerque International Sunport,35.039976,-106.608925,US,yes,ABQ
medium_airport,Aberdeen Regional Airport,45.449100494384766,-98.42179870605469,US,yes,ABR
medium_airport,Abu Simbel Airport,22.375924,31.611734,EG,yes,ABS
medium_airport,King Saud Bin Abdulaziz (Al Baha) Airport,20.298506,41.636153,SA,yes,ABT
small_airport,AA Bere Tallo (Haliwen) Airport,-9.074841,124.903285,ID,yes,ABU
